0	LDC	0	0	0
1	ST	0	1	5
2	LDC	0	0	0
3	ST	0	2	5
4	LDC	0	0	0
5	ST	0	3	5
6	LDC	0	0	0
7	ST	0	4	5
8	IN	0	0	0
9	ST	0	4	5
10	LD	0	4	5
11	ST	0	0	6
12	LDC	0	0	0
13	LD	1	0	6
14	SUB	0	1	0
15	JGT	0	2	7
16	LDC	0	0	0
17	LDA	7	1	7
18	LDC	0	1	0
20	LD	0	4	5
21	ST	0	0	6
22	LDC	0	200	0
23	LD	1	0	6
24	SUB	0	1	0
25	JLE	0	2	7
26	LDC	0	0	0
27	LDA	7	1	7
28	LDC	0	1	0
30	LD	0	1	5
31	ST	0	0	6
32	LDC	0	1	0
33	LD	1	0	6
34	ADD	0	1	0
35	ST	0	1	5
29	JEQ	0	7	7
37	LD	0	4	5
38	ST	0	0	6
39	LDC	0	400	0
40	LD	1	0	6
41	SUB	0	1	0
42	JLE	0	2	7
43	LDC	0	0	0
44	LDA	7	1	7
45	LDC	0	1	0
47	LD	0	2	5
48	ST	0	0	6
49	LDC	0	1	0
50	LD	1	0	6
51	ADD	0	1	0
52	ST	0	2	5
46	JEQ	0	7	7
54	LD	0	3	5
55	ST	0	0	6
56	LDC	0	1	0
57	LD	1	0	6
58	ADD	0	1	0
59	ST	0	3	5
53	LDA	7	6	7
36	LDA	7	23	7
19	JEQ	0	40	7
60	LD	0	4	5
61	ST	0	0	6
62	LDC	0	0	0
63	LD	1	0	6
64	SUB	0	1	0
65	JNE	0	2	7
66	LDC	0	0	0
67	LDA	7	1	7
68	LDC	0	1	0
69	JNE	0	-62	7
70	LD	0	1	5
71	OUT	0	0	0
72	LD	0	2	5
73	OUT	0	0	0
74	LD	0	3	5
75	OUT	0	0	0
76	HALT	0	0	0
